"latitude","longitude","brightness"
-14.4687,129.5749,359
-14.4595,129.5735,357.4
-14.4608,129.5638,389.8
-14.4621,129.5542,348.4
-14.4516,129.5625,367.2
-14.4529,129.5528,400.1
-14.4446,129.5549,351.9
-14.2602,130.735,334.4
-14.3356,129.7352,342.5
-14.3369,129.7257,337.8
-14.3291,129.7286,336.7
-14.0602,130.6547,350.8
-14.0615,130.6455,369.1
-14.0525,130.6441,338
-14.0448,130.6336,370.9
-14.0255,130.6401,354.3
-14.0269,130.6308,354.9
-14.0177,130.633,370.3
-13.9382,130.0852,387.1
-13.9395,130.0759,365.5
-14.306,126.6045,338.8
-13.4538,132.0986,346
-13.7048,129.9179,336.2
-13.3851,132.0721,341.3
-12.8071,132.9108,345.1
-12.6868,130.8701,344.9
-12.4829,131.2561,345.6
-12.4725,131.264,333
-12.4717,131.207,337.1
-12.3646,131.1216,334.3
-12.3205,131.1715,333.7
-12.262,131.0719,343
-12.2386,131.1061,337.2
-12.2296,131.1047,338.8
-11.6391,130.4141,339.3
-11.5009,130.2844,342.8
-11.5022,130.2753,338.7
-11.4132,130.7688,346.9
-11.3276,130.9153,378.7
-11.3393,130.8982,362.2
-11.3379,130.9074,390.8
-11.3366,130.9166,384
-11.3809,130.8013,338.5
-11.386,130.8302,337.2
-11.3727,130.9221,391.9
-11.3713,130.9313,395.2
-11.4056,130.7583,347.5
-11.3289,130.9061,360.2
-22.2392,119.5571,341.9
-22.2398,119.5491,337.4
-36.3607,149.4297,330
-31.8066,151.5023,316.8
-28.0261,148.1496,311.3
-28.0246,148.1619,343.8
-25.0819,148.2864,324.6
-25.0805,148.2973,321.9
-25.0914,148.2879,322
-25.09,148.2989,316.4
-27.5073,149.0693,311.9
-27.5167,149.0709,315.3
-15.5049,142.3443,317.3
-30.8625,121.4985,328.8
-11.3615,132.3372,332.6
-11.3751,132.35,331.4
-12.9249,141.6688,339.8
-12.4842,131.2686,334.2
-12.4871,131.2854,335.5
-12.5322,131.481,345.1
-15.5351,131.383,339.2
-15.5429,130.6148,336.8
-15.5489,130.5789,354
-15.5518,130.5959,375.3
-15.5547,130.6127,351
-15.5375,130.4393,328.8
-15.5404,130.4567,356.3
-15.5434,130.4741,351.5
-15.5463,130.4914,338.1
-15.5492,130.5085,344.3
-15.5521,130.5254,359.9
-15.5549,130.5423,354.3
-15.5579,130.5597,340
-15.5524,130.4547,353.7
-15.5553,130.472,346.3
-15.5582,130.4891,364.3
-15.5611,130.5061,358.8
-15.5545,130.5718,352.1
-15.5576,130.5889,338.3
-15.5452,130.4499,358.5
-15.5483,130.4672,364.2
-15.5513,130.4845,347.8
-15.5573,130.5184,359.4
-15.5634,130.5527,332.3
-15.5632,130.4823,348.9
-15.5662,130.499,347.7
-12.7475,131.5956,387.1
-12.7502,131.6113,361.3
-12.7591,131.5937,362.9
-12.7617,131.6094,337.8
-13.2238,133.7711,341.6
-15.2161,130.3945,368.1
-16.3314,137.0463,334
-16.3328,137.0559,345.3
-13.2255,133.7823,336.3
-13.229,133.8046,337
-14.3238,130.7092,340.1
-14.5977,130.6933,343.2
-15.7129,137.0264,346.8
-15.7143,137.0359,346.4
-14.8069,130.6944,337.1
-15.2716,131.3263,334
-15.2916,131.3074,343.6
-15.3003,131.2903,345.7
-15.3028,131.3054,350.7
-15.179,130.4255,344.8
-15.1819,130.443,343.5
-15.183,130.4188,361.7
